"Papa ID","Device ID","Event Type","Date","Message ID","Payload","# of Hops"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:13:04.039+00:00","E7BV","Counter:2509 Temp:17.45 Hum:24.799 Press:96948.11 Gas:148621.19 Pred:1 Lat:33.42591 Lng:-111.9359 Alt:324.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:12:53.731+00:00","I413","Counter:2508 Temp:17.45 Hum:24.799 Press:96948.32 Gas:148362.80 Pred:0 Lat:33.42591 Lng:-111.9359 Alt:324.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:12:43.27+00:00","DBDT","Counter:2507 Temp:17.45 Hum:24.825 Press:96948.41 Gas:147720.72 Pred:0 Lat:33.42591 Lng:-111.9359 Alt:324.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:12:32.887+00:00","CW0X","Counter:2506 Temp:17.45 Hum:24.809 Press:96948.34 Gas:145454.55 Pred:0 Lat:33.42591 Lng:-111.9359 Alt:324.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:12:22.594+00:00","9E1Y","Counter:2505 Temp:17.44 Hum:24.809 Press:96948.32 Gas:144103.58 Pred:0 Lat:33.42591 Lng:-111.9359 Alt:324.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:12:12.172+00:00","L2NI","Counter:2504 Temp:17.43 Hum:24.819 Press:96948.71 Gas:144591.92 Pred:0 Lat:33.42591 Lng:-111.9359 Alt:324.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:12:01.796+00:00","9O9F","Counter:2503 Temp:17.42 Hum:24.839 Press:96949.09 Gas:145454.55 Pred:0 Lat:33.42591 Lng:-111.9359 Alt:324.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:11:51.346+00:00","AMDC","Counter:2502 Temp:17.41 Hum:24.860 Press:96949.20 Gas:147084.17 Pred:0 Lat:33.42591 Lng:-111.9359 Alt:324.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:11:40.979+00:00","LVO0","Counter:2501 Temp:17.40 Hum:24.881 Press:96949.40 Gas:146578.88 Pred:0 Lat:33.42591 Lng:-111.9359 Alt:324.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:11:30.49+00:00","TJXT","Counter:2500 Temp:17.39 Hum:24.901 Press:96949.23 Gas:148880.48 Pred:0 Lat:33.42591 Lng:-111.9359 Alt:324.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:11:20.164+00:00","FH28","Counter:2499 Temp:17.38 Hum:24.916 Press:96949.03 Gas:150058.61 Pred:0 Lat:33.42591 Lng:-111.9359 Alt:324.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:11:09.756+00:00","ULZM","Counter:2498 Temp:17.37 Hum:24.921 Press:96948.75 Gas:150190.67 Pred:0 Lat:33.42591 Lng:-111.9359 Alt:324.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:10:59.267+00:00","0SBP","Counter:2497 Temp:17.36 Hum:24.931 Press:96948.74 Gas:149532.70 Pred:0 Lat:33.42591 Lng:-111.9359 Alt:324.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:10:48.927+00:00","6OOO","Counter:2496 Temp:17.35 Hum:24.925 Press:96948.66 Gas:148750.72 Pred:0 Lat:33.42591 Lng:-111.9359 Alt:324.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:10:38.42+00:00","UHIO","Counter:2495 Temp:17.34 Hum:24.935 Press:96948.58 Gas:149140.69 Pred:0 Lat:33.42591 Lng:-111.9359 Alt:324.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:10:28.018+00:00","5JO4","Counter:2494 Temp:17.34 Hum:24.956 Press:96949.19 Gas:149140.69 Pred:0 Lat:33.42591 Lng:-111.9359 Alt:324.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:10:17.562+00:00","60F1","Counter:2493 Temp:17.33 Hum:24.972 Press:96949.17 Gas:148621.19 Pred:0 Lat:33.42591 Lng:-111.9359 Alt:324.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:10:07.108+00:00","QUJZ","Counter:2492 Temp:17.32 Hum:24.982 Press:96949.14 Gas:147976.88 Pred:0 Lat:33.42589 Lng:-111.9358 Alt:324.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:09:56.736+00:00","THWV","Counter:2491 Temp:17.32 Hum:25.008 Press:96949.36 Gas:149795.20 Pred:0 Lat:33.42589 Lng:-111.9358 Alt:324.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:09:46.34+00:00","W9PU","Counter:2490 Temp:17.31 Hum:25.029 Press:96949.41 Gas:151121.61 Pred:0 Lat:33.42589 Lng:-111.9358 Alt:324.10","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:09:37.198+00:00","B9BZ","Counter:2489 Temp:17.31 Hum:25.018 Press:96949.68 Gas:150058.61 Pred:0 Lat:33.42589 Lng:-111.9358 Alt:334.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:09:25.639+00:00","22TO","Counter:2488 Temp:17.31 Hum:25.018 Press:96950.03 Gas:151121.61 Pred:0 Lat:33.42589 Lng:-111.9358 Alt:334.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:09:15.216+00:00","5MVZ","Counter:2487 Temp:17.31 Hum:24.997 Press:96950.22 Gas:152199.77 Pred:1 Lat:33.42586 Lng:-111.9358 Alt:334.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:09:04.631+00:00","R4K2","Counter:2486 Temp:17.31 Hum:24.997 Press:96950.20 Gas:150455.48 Pred:0 Lat:33.42586 Lng:-111.9358 Alt:334.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:08:54.239+00:00","OFZZ","Counter:2485 Temp:17.31 Hum:25.028 Press:96950.41 Gas:149140.69 Pred:0 Lat:33.42586 Lng:-111.9358 Alt:345.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:08:43.874+00:00","CGWF","Counter:2484 Temp:17.30 Hum:25.039 Press:96950.14 Gas:147338.12 Pred:0 Lat:33.42586 Lng:-111.9358 Alt:345.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:08:33.499+00:00","S8P5","Counter:2483 Temp:17.30 Hum:25.070 Press:96950.50 Gas:148491.88 Pred:0 Lat:33.42546 Lng:-111.9358 Alt:345.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:08:23.064+00:00","UH5J","Counter:2482 Temp:17.29 Hum:25.086 Press:96950.40 Gas:150058.61 Pred:0 Lat:33.42546 Lng:-111.9358 Alt:345.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:08:12.526+00:00","1JCB","Counter:2481 Temp:17.29 Hum:25.112 Press:96950.95 Gas:152064.16 Pred:0 Lat:33.42546 Lng:-111.9358 Alt:345.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:08:02.073+00:00","IBJ5","Counter:2480 Temp:17.29 Hum:25.091 Press:96951.52 Gas:152608.05 Pred:1 Lat:33.42546 Lng:-111.9358 Alt:345.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:07:51.719+00:00","R4W5","Counter:2479 Temp:17.29 Hum:25.070 Press:96951.49 Gas:153018.53 Pred:0 Lat:33.42546 Lng:-111.9358 Alt:345.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:07:41.38+00:00","ITMW","Counter:2478 Temp:17.30 Hum:25.023 Press:96951.82 Gas:151255.55 Pred:0 Lat:33.42546 Lng:-111.9358 Alt:345.70","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:07:30.969+00:00","D9KL","Counter:2477 Temp:17.30 Hum:24.996 Press:96952.19 Gas:151389.70 Pred:0 Lat:33.42546 Lng:-111.9358 Alt:344.50","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:07:20.612+00:00","8TZP","Counter:2476 Temp:17.30 Hum:24.986 Press:96952.60 Gas:151524.12 Pred:1 Lat:33.42546 Lng:-111.9358 Alt:344.50","1"
"ASUPAPA2","ASUMAMA2","gps","2025-04-04T06:07:10.153+00:00","211F","Counter:2475 Temp:17.31 Hum:24.986 Press:96952.77 Gas:151524.12 Pred:0 Lat:33.42541 Lng:-111.9357 Alt:344.50","1"
