"Papa ID","Device ID","Event Type","Date","Message ID","Payload","# of Hops"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:19:53.723+00:00","99QG","Counter:1034 Temp:30.87 Hum:7.641 Press:96631.06 Gas:148621.19 Pred:1 Lat:33.42768 Lng:-111.9354 Alt:537.51","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:19:43.348+00:00","HMVO","Counter:1033 Temp:30.86 Hum:7.462 Press:96630.83 Gas:152064.16 Pred:0 Lat:33.42768 Lng:-111.9354 Alt:537.51","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:19:33.033+00:00","F7N7","Counter:1032 Temp:30.85 Hum:7.476 Press:96631.04 Gas:151255.55 Pred:0 Lat:33.42719 Lng:-111.9354 Alt:463.21","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:19:22.539+00:00","WEA7","Counter:1031 Temp:30.85 Hum:7.556 Press:96630.99 Gas:150987.91 Pred:0 Lat:33.42719 Lng:-111.9354 Alt:463.21","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:19:12.182+00:00","W9Y4","Counter:1030 Temp:30.85 Hum:7.574 Press:96631.12 Gas:152608.05 Pred:1 Lat:33.42719 Lng:-111.9354 Alt:463.21","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:19:01.665+00:00","H0BW","Counter:1029 Temp:30.86 Hum:7.495 Press:96631.86 Gas:153431.22 Pred:1 Lat:33.42719 Lng:-111.9354 Alt:463.21","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:18:51.215+00:00","HEN6","Counter:1028 Temp:30.89 Hum:7.420 Press:96632.49 Gas:154124.02 Pred:0 Lat:33.42719 Lng:-111.9354 Alt:463.21","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:18:40.87+00:00","C7EP","Counter:1027 Temp:30.92 Hum:7.463 Press:96632.87 Gas:153846.16 Pred:0 Lat:33.42719 Lng:-111.9354 Alt:463.21","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:18:30.412+00:00","6L3J","Counter:1026 Temp:30.93 Hum:7.501 Press:96632.80 Gas:153984.97 Pred:0 Lat:33.42644 Lng:-111.9356 Alt:463.21","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:18:20.021+00:00","KGTO","Counter:1025 Temp:30.94 Hum:7.539 Press:96632.54 Gas:153155.84 Pred:0 Lat:33.42644 Lng:-111.9356 Alt:463.21","1"
"ASUPAPA2","ASUMAMA2","gps","2025-03-28T22:18:09.56+00:00","AJC8","Counter:1024 Temp:30.95 Hum:7.601 Press:96632.61 Gas:152064.16 Pred:1 Lat:33.42636 Lng:-111.9356 Alt:466.81","1"
