"Papa ID","Device ID","Event Type","Date","Message ID","Payload","# of Hops"
"ASUPAPA2","ASUMAMA1","gps","2025-02-27T21:14:23.484+00:00","B8SX","Counter:762 Temp:34.68 Hum:6.831 Press:97072.62 Gas:82500.80 Pred:1 Lat:33.41656 Lng:-111.8202 Alt:381.00","1"
"ASUPAPA2","ASUMAMA1","gps","2025-02-27T21:14:12.837+00:00","BBJ6","Counter:761 Temp:34.72 Hum:6.748 Press:97073.11 Gas:82500.80 Pred:1 Lat:33.41656 Lng:-111.8202 Alt:381.00","1"
"ASUPAPA2","ASUMAMA1","gps","2025-02-27T21:14:02.496+00:00","A7ZK","Counter:760 Temp:34.73 Hum:6.758 Press:97073.88 Gas:82740.79 Pred:1 Lat:33.41656 Lng:-111.8202 Alt:381.00","1"
"ASUPAPA2","ASUMAMA1","gps","2025-02-27T21:13:52.111+00:00","PIP9","Counter:759 Temp:34.73 Hum:6.772 Press:97073.33 Gas:82660.64 Pred:1 Lat:33.41656 Lng:-111.8202 Alt:381.00","1"
"ASUPAPA2","ASUMAMA1","gps","2025-02-27T21:13:41.733+00:00","48JF","Counter:758 Temp:34.74 Hum:6.781 Press:97073.80 Gas:82341.59 Pred:1 Lat:33.41656 Lng:-111.8202 Alt:381.00","1"
"ASUPAPA2","ASUMAMA1","gps","2025-02-27T21:13:31.316+00:00","67K0","Counter:757 Temp:34.74 Hum:6.865 Press:97074.07 Gas:82262.21 Pred:1 Lat:33.41656 Lng:-111.8202 Alt:381.90","1"
"ASUPAPA2","ASUMAMA2","gps","2025-02-27T21:13:26.577+00:00","0IHL","Counter:442 Temp:27.31 Hum:8.911 Press:97052.63 Gas:73415.55 Pred:1 Lat:33.41662 Lng:-111.8200 Alt:369.60","1"
"ASUPAPA2","ASUMAMA1","gps","2025-02-27T21:13:20.711+00:00","4FR1","Counter:756 Temp:34.72 Hum:6.846 Press:97074.98 Gas:81946.23 Pred:1 Lat:33.41656 Lng:-111.8202 Alt:381.90","1"
"ASUPAPA2","ASUMAMA2","gps","2025-02-27T21:13:15.989+00:00","WBS2","Counter:441 Temp:27.29 Hum:9.104 Press:97055.31 Gas:73605.52 Pred:1 Lat:33.41662 Lng:-111.8200 Alt:369.60","1"
"ASUPAPA2","ASUMAMA1","gps","2025-02-27T21:13:10.312+00:00","F149","Counter:755 Temp:34.71 Hum:6.795 Press:97075.36 Gas:81946.23 Pred:1 Lat:33.41656 Lng:-111.8202 Alt:381.90","1"
"ASUPAPA2","ASUMAMA2","gps","2025-02-27T21:13:05.559+00:00","SS8N","Counter:440 Temp:27.28 Hum:8.834 Press:97056.40 Gas:74831.92 Pred:1 Lat:33.41662 Lng:-111.8200 Alt:369.60","1"
"ASUPAPA2","ASUMAMA1","gps","2025-02-27T21:12:59.925+00:00","QRDM","Counter:754 Temp:34.68 Hum:6.780 Press:97076.35 Gas:81710.82 Pred:1 Lat:33.41656 Lng:-111.8202 Alt:381.90","1"
"ASUPAPA2","ASUMAMA2","gps","2025-02-27T21:12:55.166+00:00","YRJT","Counter:439 Temp:27.28 Hum:8.731 Press:97057.01 Gas:75161.48 Pred:1 Lat:33.41662 Lng:-111.8200 Alt:369.60","1"
"ASUPAPA2","ASUMAMA1","gps","2025-02-27T21:12:49.504+00:00","E92U","Counter:753 Temp:34.65 Hum:6.691 Press:97077.41 Gas:81946.23 Pred:1 Lat:33.41656 Lng:-111.8202 Alt:378.80","1"
"ASUPAPA2","ASUMAMA2","gps","2025-02-27T21:12:44.786+00:00","YMJ3","Counter:438 Temp:27.29 Hum:8.783 Press:97057.66 Gas:74700.91 Pred:1 Lat:33.41662 Lng:-111.8200 Alt:369.60","1"
"ASUPAPA2","ASUMAMA1","gps","2025-02-27T21:12:39.168+00:00","M1Z3","Counter:752 Temp:34.61 Hum:6.658 Press:97078.32 Gas:82580.65 Pred:1 Lat:33.41656 Lng:-111.8202 Alt:378.80","1"
"ASUPAPA2","ASUMAMA2","gps","2025-02-27T21:12:34.379+00:00","ZG5S","Counter:437 Temp:27.31 Hum:8.920 Press:97058.25 Gas:73732.72 Pred:1 Lat:33.41662 Lng:-111.8200 Alt:369.60","1"
"ASUPAPA2","ASUMAMA1","gps","2025-02-27T21:12:28.836+00:00","O5O9","Counter:751 Temp:34.58 Hum:6.764 Press:97079.52 Gas:82421.12 Pred:1 Lat:33.41656 Lng:-111.8202 Alt:378.80","1"
"ASUPAPA2","ASUMAMA2","gps","2025-02-27T21:12:23.87+00:00","AEY7","Counter:436 Temp:27.33 Hum:9.039 Press:97059.09 Gas:73669.06 Pred:1 Lat:33.41662 Lng:-111.8200 Alt:369.60","1"
"ASUPAPA2","ASUMAMA1","gps","2025-02-27T21:12:18.344+00:00","BR91","Counter:750 Temp:34.55 Hum:6.930 Press:97081.03 Gas:81399.05 Pred:1 Lat:33.41656 Lng:-111.8202 Alt:378.80","1"
"ASUPAPA2","ASUMAMA2","gps","2025-02-27T21:12:13.528+00:00","4AP0","Counter:435 Temp:27.34 Hum:8.756 Press:97059.91 Gas:74700.91 Pred:1 Lat:33.41662 Lng:-111.8200 Alt:369.60","1"
"ASUPAPA2","ASUMAMA1","gps","2025-02-27T21:12:07.958+00:00","HPRQ","Counter:749 Temp:34.51 Hum:7.041 Press:97082.73 Gas:81321.48 Pred:1 Lat:33.41656 Lng:-111.8202 Alt:378.80","1"
"ASUPAPA2","ASUMAMA2","gps","2025-02-27T21:12:03.142+00:00","HJCK","Counter:434 Temp:27.36 Hum:8.846 Press:97060.50 Gas:73669.06 Pred:1 Lat:33.41658 Lng:-111.8201 Alt:369.60","1"
"ASUPAPA2","ASUMAMA1","gps","2025-02-27T21:11:57.588+00:00","4ZO1","Counter:748 Temp:34.48 Hum:6.961 Press:97083.16 Gas:82103.91 Pred:1 Lat:33.41656 Lng:-111.8202 Alt:378.80","1"
"ASUPAPA2","ASUMAMA2","gps","2025-02-27T21:11:52.751+00:00","003F","Counter:433 Temp:27.37 Hum:8.860 Press:97061.27 Gas:73988.44 Pred:1 Lat:33.41658 Lng:-111.8201 Alt:369.60","1"
"ASUPAPA2","ASUMAMA1","gps","2025-02-27T21:11:47.226+00:00","NB5C","Counter:747 Temp:34.47 Hum:6.882 Press:97082.90 Gas:82901.55 Pred:1 Lat:33.41656 Lng:-111.8202 Alt:378.80","1"
"ASUPAPA2","ASUMAMA2","gps","2025-02-27T21:11:42.36+00:00","XK92","Counter:432 Temp:27.39 Hum:8.885 Press:97061.94 Gas:73605.52 Pred:1 Lat:33.41658 Lng:-111.8201 Alt:369.60","1"
